date,close,volume,open,high,low
15-11-18,1619.44,8379824,1581.01,1624.82,1546.51
14-11-18,1599.01,6439170,1656.32,1672.9952,1597.07
13-11-18,1631.17,5901499,1649.29,1677.0638,1613.75
12-11-18,1636.85,6763693,1698.24,1708.55,1630.01
09-11-18,1712.43,5892058,1732.5,1743.9206,1701.87
08-11-18,1754.91,6520345,1755,1784,1725.11
07-11-18,1755.49,8166777,1673,1759.23,1664.075
06-11-18,1642.81,4206093,1618.35,1665,1614.55
05-11-18,1627.8,5615749,1657.57,1658.09,1596.36
02-11-18,1665.53,6932644,1678.59,1697.44,1651.83
01-11-18,1665.53,8054045,1623.53,1670.4465,1598.44
31-10-18,1598.01,9372899,1569.99,1623.91,1565.09
30-10-18,1530.42,12395130,1486.16,1540.99,1476.36
29-10-18,1538.88,13791810,1660,1665.7383,1495
26-10-18,1642.81,14941860,1649.59,1698.46,1603
25-10-18,1782.17,9941447,1703.34,1794.81,1692.0101
24-10-18,1664.2,6845123,1773.7,1777.7099,1656.56
23-10-18,1768.7,6705686,1742.24,1776.34,1714
22-10-18,1789.3,4481334,1784,1809.4999,1756
19-10-18,1764.03,5854417,1785.16,1809.1,1753
18-10-18,1770.72,5839352,1821.49,1830.15,1767.87
17-10-18,1831.73,5282597,1842.79,1845,1807
16-10-18,1819.96,5826985,1783.5,1823.88,1761.55
15-10-18,1760.95,6360606,1795,1795.05,1734.23
12-10-18,1788.61,9385256,1808,1808.95,1742.53
11-10-18,1719.36,13858970,1724,1755.4,1685.1
10-10-18,1755.25,10878990,1857.89,1858.56,1754.41
09-10-18,1870.32,4732430,1859.99,1896.6759,1852.32
08-10-18,1864.42,7346828,1874,1901.9962,1830.6627
05-10-18,1889.65,6816213,1917.99,1929.08,1862.83
04-10-18,1909.42,7240549,1949,1956,1896.57
03-10-18,1952.76,5167224,1981.7,1989.7,1949.81
02-10-18,1971.31,5360924,1999.99,2013.39,1965.77
01-10-18,2004.36,3457725,2021.99,2033.19,2003.6
28-09-18,2003,3991574,2004.41,2026.52,1996.4648
27-09-18,2012.98,4295758,1993.2365,2016.1564,1988.58
26-09-18,1974.85,4262097,1968.5,1995.25,1961.52
25-09-18,1974.55,4351662,1942.9,1975.91,1938.85
24-09-18,1934.36,4146563,1903.79,1936.88,1865
21-09-18,1915.01,6774727,1954.22,1957.31,1910.5011
20-09-18,1944.3,3142025,1938.58,1955,1932.25
19-09-18,1926.42,4037641,1940.5,1940.83,1904.9
18-09-18,1941.05,4231892,1918.65,1958.2,1915.4391
17-09-18,1908.03,6981550,1954.73,1956.82,1887.41
14-09-18,1970.19,3587896,1992.93,1993.648,1959.22
13-09-18,1989.87,3605398,2000,2008.76,1982.0277
12-09-18,1990,4407334,1994,2000,1962.44
11-09-18,1987.15,5016780,1928.27,1988.88,1917
10-09-18,1939.01,4481091,1971,1973.04,1931.5158
07-09-18,1952.07,4856982,1938.71,1975.2,1937.35
06-09-18,1958.31,7473086,2006.505,2007.5,1935.209
05-09-18,1994.82,8197117,2038.11,2040.38,1989.89
04-09-18,2039.51,5703128,2026.5,2050.5,2013
31-08-18,2012.71,4148432,2007,2022.38,2004.74
30-08-18,2002.38,7254573,1997.42,2025.57,1986.9
29-08-18,1998.1,6432354,1953.45,1998.6899,1948.94
28-08-18,1932.82,3070482,1937.73,1941.7771,1928.82
27-08-18,1927.68,3546496,1915,1927.7,1909.281
24-08-18,1905.39,2781770,1910.51,1916.01,1902.54
23-08-18,1902.9,3548197,1907.17,1919.5,1900.76
22-08-18,1904.9,3058369,1876.64,1905.8,1876.64
21-08-18,1883.42,3068215,1880,1897.75,1874.405
20-08-18,1876.71,2854320,1890.57,1891.7465,1866.061
17-08-18,1882.22,4088548,1885.8,1888,1855.55
16-08-18,1886.52,3884253,1903.94,1905,1883.5525
15-08-18,1882.62,7658108,1909.55,1916.21,1869.79
