"date","close","volume","open","high","low"
"12:39","138.625","20,517,956","141.10","141.77","137.77"
"2018/11/15","143.8500","29803280.0000","142.3300","144.8400","140.8300"
"2018/11/14","144.2200","22019830.0000","143.7000","145.5800","141.5500"
"2018/11/13","142.1600","15062230.0000","142.0000","144.8800","141.6200"
"2018/11/12","141.5500","18387680.0000","144.4800","145.0400","140.4899"
"2018/11/09","144.9600","17305480.0000","146.7500","147.7600","144.0700"
"2018/11/08","147.8700","24061590.0000","150.4900","150.9400","146.7400"
"2018/11/07","151.5300","21740210.0000","151.5700","153.0100","149.8300"
"2018/11/06","149.9400","16302120.0000","149.3100","150.9700","148.0000"
"2018/11/05","148.6800","15894150.0000","150.1000","150.1900","147.4400"
"2018/11/02","150.3500","24479290.0000","151.8000","154.1300","148.9600"
"2018/11/01","151.7500","25435380.0000","151.5200","152.7500","149.3500"
"2018/10/31","151.7900","59983970.0000","155.0000","156.4000","148.9600"
"2018/10/30","146.2200","45351650.0000","139.9350","146.6400","139.7419"
"2018/10/29","142.0900","31270990.0000","148.5000","148.8300","139.0300"
"2018/10/26","145.3700","31235150.0000","145.8200","149.0000","143.8000"
"2018/10/25","150.9500","22000170.0000","147.7300","152.2100","147.0000"
"2018/10/24","146.0400","27574300.0000","154.2800","154.6500","145.6000"
"2018/10/23","154.3900","19066360.0000","151.2200","154.7700","150.8500"
"2018/10/22","154.7800","15381630.0000","154.7600","157.3400","154.4600"
"2018/10/19","154.0500","19636460.0000","155.8600","157.3500","153.5500"
"2018/10/18","154.9200","21123820.0000","158.5100","158.6600","153.2800"
"2018/10/17","159.4200","17307030.0000","159.5600","160.4900","157.9500"
"2018/10/16","158.7800","18711620.0000","155.4000","159.4600","155.0100"
"2018/10/15","153.5200","15194060.0000","153.3200","155.5700","152.5500"
"2018/10/12","153.7400","25209770.0000","156.7300","156.8900","151.2998"
"2018/10/11","153.3500","35225150.0000","150.1300","154.8100","149.1600"
"2018/10/10","151.3800","30143210.0000","156.8200","157.6900","151.3100"
"2018/10/09","157.9000","18494270.0000","157.6900","160.5900","157.4200"
"2018/10/08","157.2500","23825100.0000","155.5400","158.3400","154.3900"
"2018/10/05","157.3300","25727470.0000","159.2100","160.9000","156.2000"
"2018/10/04","158.8500","25707300.0000","161.4600","161.4600","157.3500"
"2018/10/03","162.4300","23086120.0000","160.0000","163.6600","159.5300"
"2018/10/02","159.3300","35303190.0000","161.5800","162.2800","158.6700"
"2018/10/01","162.4400","26260420.0000","163.0300","165.8800","161.2600"
"2018/09/28","164.4600","33786480.0000","168.3300","168.7900","162.5600"
"2018/09/27","168.8400","27192570.0000","167.5500","171.7700","167.2100"
"2018/09/26","166.9500","24271500.0000","164.3000","169.3000","164.2100"
"2018/09/25","164.9100","27430470.0000","161.9900","165.5900","161.1500"
"2018/09/24","165.4100","18907320.0000","161.0300","165.7000","160.8800"
"2018/09/21","162.9300","45847680.0000","166.6400","167.2500","162.8100"
"2018/09/20","166.0200","18812060.0000","164.5000","166.4500","164.4722"
"2018/09/19","163.0600","19568020.0000","160.0800","163.4400","159.4800"
"2018/09/18","160.3000","22331470.0000","159.3900","161.7639","158.8656"
"2018/09/17","160.5800","20951950.0000","161.9200","162.0600","159.7700"
"2018/09/14","162.3200","21682850.0000","161.7150","162.8400","160.3400"
"2018/09/13","161.3600","25376900.0000","162.0000","163.3200","160.8600"
"2018/09/12","162.0000","24033850.0000","163.2500","164.4900","161.8000"
"2018/09/11","165.9400","20285090.0000","163.9400","167.1900","163.7200"
"2018/09/10","164.1800","19896190.0000","163.5100","165.0100","162.1600"
"2018/09/07","163.0400","24151910.0000","160.3100","164.6269","160.1600"
"2018/09/06","162.5300","41418330.0000","166.9800","166.9800","160.0000"
"2018/09/05","167.1800","31191210.0000","169.4900","171.1250","166.6700"
"2018/09/04","171.1600","29460630.0000","173.5000","173.8900","168.8000"
"2018/08/31","175.7300","18025110.0000","177.1500","177.6200","174.9815"
"2018/08/30","177.6400","24105390.0000","175.9000","179.7901","175.7000"
"2018/08/29","175.9000","18357780.0000","176.2950","176.7900","174.7500"
"2018/08/28","176.2600","15720690.0000","178.1000","178.2399","175.8300"
"2018/08/27","177.4600","17853600.0000","175.9900","178.6700","175.7900"
"2018/08/24","174.6450","14519920.0000","173.7000","174.8200","172.9200"
"2018/08/23","172.9000","17945260.0000","173.0900","175.5500","172.8300"
"2018/08/22","173.6400","16760320.0000","172.2100","174.2400","172.1300"
"2018/08/21","172.6200","19475690.0000","172.8100","174.1700","171.3900"
"2018/08/20","172.5000","21449120.0000","174.0400","174.5700","170.9100"
"2018/08/17","173.8000","24819470.0000","174.5000","176.2200","172.0400"
"2018/08/16","174.7000","31161240.0000","180.4200","180.5000","174.0100"
"2018/08/15","179.5300","32658240.0000","179.3400","180.8700","174.7800"
