"date","close","volume","open","high","low"
"12:36","110.13","5,767,098","109.37","110.415","108.55"
"2018/11/15","110.0700","19095940.0000","108.2400","110.0800","106.8100"
"2018/11/14","107.3300","18233660.0000","110.2300","110.7100","105.9836"
"2018/11/13","109.5900","13744930.0000","109.1000","111.1200","109.1000"
"2018/11/12","108.9500","13279160.0000","111.4200","111.9400","108.6000"
"2018/11/09","111.2900","10430960.0000","112.2300","112.3600","110.8300"
"2018/11/08","112.3800","11658900.0000","111.0100","112.9250","111.0000"
"2018/11/07","111.4800","12667070.0000","110.3700","111.7300","109.3500"
"2018/11/06","109.6000","10821580.0000","108.6700","109.6700","107.7600"
"2018/11/05","109.0900","10273610.0000","108.6100","109.2900","108.4200"
"2018/11/02","108.3800","19008910.0000","109.9000","110.8100","107.4900"
"2018/11/01","108.9800","13060240.0000","109.6200","110.2200","108.3200"
"2018/10/31","109.0200","20847860.0000","108.0800","110.4800","107.7900"
"2018/10/30","106.7000","18015060.0000","105.7100","106.9800","104.8600"
"2018/10/29","104.8500","18243470.0000","104.4600","106.6300","103.7000"
"2018/10/26","103.4200","19162570.0000","104.0000","104.5600","102.7300"
"2018/10/25","104.8600","17454950.0000","104.1800","105.9000","103.7200"
"2018/10/24","103.2900","23151030.0000","104.7600","105.0300","102.9068"
"2018/10/23","105.2500","21403520.0000","104.2000","106.1600","103.7000"
"2018/10/22","106.3600","16125130.0000","108.1500","108.3400","106.1132"
"2018/10/19","107.9100","15152190.0000","107.6500","109.2200","107.2700"
"2018/10/18","108.0900","17580370.0000","109.0200","109.8400","107.8100"
"2018/10/17","109.8300","18651830.0000","108.3800","110.8000","108.2300"
"2018/10/16","108.6200","19299970.0000","107.1600","108.7800","106.7300"
"2018/10/15","106.3400","18733850.0000","107.2000","108.8500","106.3200"
"2018/10/12","106.9500","32046950.0000","110.3700","110.8300","105.6000"
"2018/10/11","108.1300","33674420.0000","110.9700","111.4700","107.3800"
"2018/10/10","111.4700","22980780.0000","114.7000","114.9500","111.4700"
"2018/10/09","114.5200","13313990.0000","114.6700","115.0300","113.6700"
"2018/10/08","115.3200","13988650.0000","114.2500","115.7800","113.3534"
"2018/10/05","114.6200","13774290.0000","115.8300","116.1000","114.0150"
"2018/10/04","115.2700","16353980.0000","114.5500","116.8100","114.2100"
"2018/10/03","115.0400","17139050.0000","114.9400","115.6600","114.4800"
"2018/10/02","113.9700","13675490.0000","113.3600","114.1200","112.8128"
"2018/10/01","113.5000","10108580.0000","113.3700","114.6100","113.0400"
"2018/09/28","112.8400","15811150.0000","113.6500","114.2400","112.5200"
"2018/09/27","114.5200","13278480.0000","115.4200","115.7600","114.1600"
"2018/09/26","115.0200","13973420.0000","116.7500","116.8699","114.6600"
"2018/09/25","116.3900","9187653.0000","117.0400","117.9700","116.3200"
"2018/09/24","116.7200","12487950.0000","117.7600","118.4600","116.4315"
"2018/09/21","117.8500","24745470.0000","119.1300","119.2300","117.7400"
"2018/09/20","118.6300","15575320.0000","118.5000","119.2400","118.0800"
"2018/09/19","117.6200","16046720.0000","114.4400","118.0600","114.4400"
"2018/09/18","114.3000","7940094.0000","114.3300","114.6550","113.5600"
"2018/09/17","113.8400","9554932.0000","113.7900","114.4300","113.3000"
"2018/09/14","113.5000","10231520.0000","113.8100","114.4900","113.2300"
"2018/09/13","113.5200","12415090.0000","113.3700","114.1300","112.6700"
"2018/09/12","113.0800","10798760.0000","114.2500","114.8800","112.8500"
"2018/09/11","114.4300","9332254.0000","113.5400","114.5750","113.1800"
"2018/09/10","113.7100","8276288.0000","114.8500","114.9700","113.6600"
"2018/09/07","114.3200","10954450.0000","114.5000","114.7700","113.6300"
"2018/09/06","114.1000","9877590.0000","114.5000","114.7000","113.5000"
"2018/09/05","114.5900","11461150.0000","115.0000","115.7000","114.2500"
"2018/09/04","115.1500","10169810.0000","114.3400","115.2400","113.6300"
"2018/08/31","114.5800","12964490.0000","114.8300","114.8400","113.8190"
"2018/08/30","115.1900","8991040.0000","115.5900","116.0400","114.9800"
"2018/08/29","115.7600","7218300.0000","116.3500","116.3700","115.3600"
"2018/08/28","116.1400","8302445.0000","117.0000","117.0300","115.9700"
"2018/08/27","116.7100","13757760.0000","115.2200","117.2800","115.1700"
"2018/08/24","114.6800","8843759.0000","114.9800","115.2200","114.4510"
"2018/08/23","114.7300","9265285.0000","114.9600","115.1500","114.4300"
"2018/08/22","114.9700","8314720.0000","115.3100","115.4100","114.7800"
"2018/08/21","115.3200","10956230.0000","115.3700","116.3850","114.8800"
"2018/08/20","114.6200","8618073.0000","114.5900","115.0500","114.1100"
"2018/08/17","114.7700","8503909.0000","114.6400","115.0700","114.3000"
"2018/08/16","114.7700","10053620.0000","114.3500","115.3100","114.3000"
"2018/08/15","113.7000","10148000.0000","113.8200","114.3300","112.9700"
