"date","close","volume","open","high","low"
"12:38","108.2602","15,015,655","107.01","108.61","106.80"
"2018/11/15","107.2800","38430970.0000","104.9900","107.8000","103.9100"
"2018/11/14","104.9700","39451290.0000","108.1000","108.2600","104.4700"
"2018/11/13","106.9400","35360680.0000","107.5500","108.7400","106.6400"
"2018/11/12","106.8700","33595910.0000","109.4200","109.9600","106.1000"
"2018/11/09","109.5700","32011930.0000","110.8500","111.4500","108.7600"
"2018/11/08","111.7500","25479410.0000","111.8000","112.2100","110.9100"
"2018/11/07","111.9600","37864220.0000","109.4400","112.2400","109.4000"
"2018/11/06","107.7200","24217640.0000","107.3800","108.8400","106.2800"
"2018/11/05","107.5100","27908600.0000","106.3700","107.7400","105.9000"
"2018/11/02","106.1600","37591700.0000","106.4800","107.3200","104.9750"
"2018/11/01","105.9200","33243300.0000","107.0500","107.3200","105.5300"
"2018/10/31","106.8100","51042220.0000","105.4350","108.1400","105.3900"
"2018/10/30","103.7300","65273360.0000","103.6600","104.3800","100.1100"
"2018/10/29","103.8500","55101300.0000","108.1050","108.7000","101.6300"
"2018/10/26","106.9600","55480820.0000","105.6900","108.7500","104.7600"
"2018/10/25","108.3000","61550620.0000","106.5500","109.2700","106.1500"
"2018/10/24","102.3200","63236450.0000","108.4100","108.4900","101.5901"
"2018/10/23","108.1000","43531680.0000","107.7700","108.9700","105.1100"
"2018/10/22","109.6300","26484510.0000","109.3200","110.5400","108.2400"
"2018/10/19","108.6600","32751070.0000","108.9300","110.8600","108.2100"
"2018/10/18","108.5000","31794350.0000","110.1000","110.5300","107.8300"
"2018/10/17","110.7100","25873980.0000","111.6800","111.8100","109.5482"
"2018/10/16","111.0000","31154210.0000","109.5400","111.4100","108.9500"
"2018/10/15","107.6000","32001580.0000","108.9100","109.4800","106.9468"
"2018/10/12","109.5700","46718940.0000","109.0100","111.2400","107.1200"
"2018/10/11","105.9100","63629560.0000","105.3500","108.9300","104.2000"
"2018/10/10","106.1600","60560740.0000","111.2400","111.5000","105.7900"
"2018/10/09","112.2600","26187200.0000","111.1400","113.0800","110.8000"
"2018/10/08","110.8500","29477750.0000","111.6600","112.0300","109.3400"
"2018/10/05","112.1300","29062670.0000","112.6300","113.1700","110.6400"
"2018/10/04","112.7900","34475710.0000","114.6100","114.7588","111.6300"
"2018/10/03","115.1700","16130010.0000","115.4200","116.1800","114.9300"
"2018/10/02","115.1500","20180030.0000","115.3000","115.8400","114.4400"
"2018/10/01","115.6100","18610500.0000","114.7500","115.6800","114.7300"
"2018/09/28","114.3700","20525950.0000","114.1900","114.5700","113.6800"
"2018/09/27","114.4100","19053590.0000","114.7800","114.9100","114.2000"
"2018/09/26","113.9800","19322530.0000","114.4700","115.0550","113.7400"
"2018/09/25","114.4500","20782110.0000","114.8000","115.1000","113.7500"
"2018/09/24","114.6700","25273510.0000","113.0300","114.9000","112.2175"
"2018/09/21","114.2600","70363000.0000","114.0000","115.2900","113.5100"
"2018/09/20","113.5700","23667500.0000","112.2800","113.8000","111.9300"
"2018/09/19","111.7000","21663020.0000","113.0500","113.3200","111.0350"
"2018/09/18","113.2100","22114560.0000","112.1900","113.6950","111.7200"
"2018/09/17","112.1400","20332830.0000","113.6900","113.7000","111.8600"
"2018/09/14","113.3700","18261950.0000","113.3600","113.7300","112.4400"
"2018/09/13","112.9100","25107230.0000","112.1200","113.7250","112.1200"
"2018/09/12","111.7100","18855340.0000","111.4300","111.8500","110.5100"
"2018/09/11","111.2400","24081240.0000","108.9000","111.5900","108.8900"
"2018/09/10","109.3800","19887280.0000","108.8400","109.6400","108.3600"
"2018/09/07","108.2100","22273530.0000","108.2300","108.7248","107.2300"
"2018/09/06","108.7400","23226430.0000","108.2500","108.9900","107.5100"
"2018/09/05","108.4900","32838650.0000","111.0100","111.4200","108.1000"
"2018/09/04","111.7100","22558040.0000","110.8500","111.9550","110.2200"
"2018/08/31","112.3300","23217310.0000","111.6850","112.7770","111.5150"
"2018/08/30","111.9500","22759640.0000","111.6700","112.6100","111.4400"
"2018/08/29","112.0200","20747500.0000","110.4500","112.0300","110.2700"
"2018/08/28","110.2600","19144860.0000","109.9400","110.5000","109.7900"
"2018/08/27","109.6000","19439380.0000","109.2700","109.6400","108.5100"
"2018/08/24","108.4000","17188010.0000","107.6700","108.5600","107.5600"
"2018/08/23","107.5600","17996860.0000","107.1500","108.1800","106.8700"
"2018/08/22","107.0600","17878840.0000","105.8500","107.3400","105.7800"
"2018/08/21","105.9800","22825830.0000","106.9200","107.3500","105.8500"
"2018/08/20","106.8700","17327110.0000","107.5100","107.9000","106.4800"
"2018/08/17","107.5800","18051970.0000","107.3600","107.9000","106.6900"
"2018/08/16","107.6400","20687500.0000","108.3000","108.8600","107.3000"
"2018/08/15","107.6600","29947600.0000","108.4900","108.9850","106.8200"
